Date,Current,Previous,Consensus,TE_Forecast
2020/10,$-63.1B,$-62.1B,$-64.8B,$-65B
2020/11,$-68.1B,$-63.1B,$-65.2B,$-67.6B
2020/12,$-66.6B,$-69B,$-65.7B,$-70B
2021/1,$-68.2B,$-67B,$-67.5B,$-67.5B
2021/2,$-71.1B,$-67.8B,$-70.5B,$-69.8B
2021/3,$-74.4B,$-70.5B,$-74.5B,$-73.4B
2021/4,$-68.9B,$-75B,$-69B,$-69B
2021/5,$-71.2B,$-69.1B,$-71.4B,$-71.6B
2021/6,$-75.7B,$-71B,$-73.9B,$-74.3B
2021/7,$-70B,$-73.2B,$-71B,$-70B
2021/8,$-73.3B,$-70.3B,$-70.5B,$-70.8B
2021/9,$-80.9B,$-72.8B,$-80.5B,$-75B
2021/10,$-67.1B,$-81.4B,$-66.8B,$-66B
2021/11,$-80.2B,$-67.2B,$-77.1B,$-81.8B
2021/12,$-80.7B,$-79.3B,$-83B,$-83.2B
2022/1,$-89.7B,$-82B,$-87.1B,$-84B
2022/2,$-89.2B,$-89.2B,$-88.5B,$-88B
2022/3,$-109.8B,$-89.8B,$-107B,$-92B
2022/4,$-87.1B,$-107.7B,$-89.5B,$-91B
2022/5,$-85.5B,$-86.7B,$-84.9B,$-86B
2022/6,$-79.6B,$-84.9B,$-80.1B,$-83B
2022/7,$-70.7B,$-80.9B,$-70.3B,$-70B
2022/8,$-67.4B,$-70.5B,$-67.7B,$-68B
2022/9,$-73.3B,$-65.7B,$-72.2B,$-72B
2022/10,$-78.2B,$-74.1B,$-80B,$-73B
2022/11,$-61.5B,$-77.8B,$-73B,$-72B
2022/12,$-67.4B,$-61B,$-68.5B,$-68.8B
2023/1,$-68.3B,$-67.2B,$-68.9B,$-69.0B
2023/2,$-70.5B,$-68.7B,$-69B,$-69.0B
2023/3,$-64.2B,$-70.6B,$-63.3B,$-63.1B
2023/4,$-74.6B,$-60.6B,$-75.2B,$-78.2B
