Date,Current,Previous,Consensus,TE_Forecast
2020/11,1.6%,1.6%,1.6%,1.6%
2020/12,1.6%,1.6%,1.6%,1.6%
2021/1,1.4%,1.6%,1.5%,1.6%
2021/2,1.3%,1.4%,1.4%,1.4%
2021/3,1.6%,1.3%,1.5%,1.6%
2021/4,3%,1.6%,2.3%,2.2%
2021/5,3.8%,3%,3.4%,3.2%
2021/6,4.5%,3.8%,4%,3.9%
2021/7,4.3%,4.5%,4.3%,4.4%
2021/8,4%,4.3%,4.2%,4.3%
2021/9,4%,4%,4%,4%
2021/10,4.6%,4%,4.3%,4.1%
2021/11,4.9%,4.6%,4.9%,4.9%
2021/12,5.5%,4.9%,5.4%,5.4%
2022/1,6%,5.5%,5.9%,5.7%
2022/2,6.4%,6%,6.4%,6.4%
2022/3,6.5%,6.4%,6.6%,6.7%
2022/4,6.2%,6.5%,6%,6.2%
2022/5,6%,6.2%,5.9%,6%
2022/6,5.9%,6%,5.7%,5.8%
2022/7,5.9%,5.9%,6.1%,5.9%
2022/8,6.3%,5.9%,6.1%,5.9%
2022/9,6.6%,6.3%,6.5%,6.4%
2022/10,6.3%,6.6%,6.5%,6.7%
2022/11,6%,6.3%,6.1%,6.2%
2022/12,5.7%,6%,5.7%,5.8%
2023/1,5.6%,5.7%,5.5%,5.4%
2023/2,5.5%,5.6%,5.5%,5.6%
2023/3,5.6%,5.5%,5.6%,5.5%
2023/4,5.5%,5.6%,5.5%,5.6%
2023/5,5.3%,5.5%,5.3%,5.4%
2023/6,4.8%,5.3%,5%,5.0%
2023/7,4.7%,4.8%,4.8%,4.8%
2023/8,4.3%,4.7%,4.3%,4.4%
2023/9,4.1%,4.3%,4.1%,4.1%
2023/10,4%,4.1%,4.1%,4%
2023/11,4%,4%,4%,4.0%
2023/12,3.9%,4%,3.8%,3.9%
2024/1,3.9%,3.9%,3.7%,3.7%
2024/2,3.8%,3.9%,3.7%,3.8%
2024/3,3.8%,3.8%,3.7%,3.7%
