Date,Current,Previous,Consensus,TE_Forecast
2020/11,0.9%,1.8%,0.6%,0.6%
2020/12,0.2%,1.2%,0.9%,0.8%
2021/1,3.4%,1.2%,1.1%,1.2%
2021/2,-1.1%,3.5%,0.8%,1.1%
2021/3,0.5%,-0.9%,2.5%,1.7%
2021/4,-1.3%,1.3%,0.7%,0.7%
2021/5,2.3%,-0.8%,2.8%,2%
2021/6,0.8%,3.2%,2.1%,1.9%
2021/7,-0.1%,0.8%,-0.3%,-0.2%
2021/8,1.8%,0.5%,0.7%,0.4%
2021/9,-0.4%,1.3%,-1.1%,-0.8%
2021/10,-0.5%,-0.4%,0.2%,0.3%
2021/11,2.5%,0.1%,1.6%,1.1%
2021/12,-0.9%,3.2%,-0.5%,-0.2%
2022/1,1.6%,1.2%,0.8%,0.4%
2022/2,-2.2%,1.6%,-0.5%,-0.5%
2022/3,0.8%,-1.7%,1%,1.1%
2022/4,0.4%,0.6%,0.6%,0.4%
2022/5,0.7%,0.4%,0.1%,-0.3%
2022/6,1.9%,0.8%,-0.5%,-0.3%
2022/7,0%,2.2%,0.6%,0.8%
2022/8,-0.2%,-0.1%,-0.4%,-0.9%
2022/9,0.4%,0.2%,0.6%,0.2%
2022/10,1%,0.3%,0.4%,0.3%
2022/11,-2.1%,0.7%,-0.6%,-0.5%
2022/12,5.6%,-1.7%,2.5%,2.2%
2023/1,-4.5%,5.1%,-4%,-3.5%
2023/2,-1%,-5%,0.6%,0.7%
2023/3,3.2%,-1.2%,0.7%,0.6%
2023/4,1.1%,3.3%,-1%,-1.1%
2023/5,1.7%,1.2%,-1%,-0.9%
2023/6,4.7%,2%,1%,0.6%
2023/7,-5.2%,4.4%,-4%,0.5%
2023/8,0.2%,-5.6%,-0.5%,-1.4%
2023/9,4.7%,-0.1%,1.7%,1.1%
2023/10,-5.4%,4%,-3.1%,-2.8%
2023/11,5.4%,-5.1%,2.2%,1.8%
2023/12,0%,5.5%,1.1%,0.1%
2024/1,-6.1%,-0.3%,-4.5%,-4%
2024/2,1.4%,-6.9%,1.1%,0.7%
2024/3,,1.3%,2.5%,2.5%
