Date,Current,Previous,Consensus,TE_Forecast
2021/11,69.1,66.7,65.0,65.0
2021/12,62.0,69.1,66.9,67.5
2022/1,59.9,62.3,59.5,61.0
2022/2,56.5,59.9,61.0,61.0
2022/3,58.3,56.5,58.4,58.1
2022/4,57.1,58.3,58.5,58.5
2022/5,55.9,57.1,56.4,55.0
2022/6,55.3,55.9,54.3,55.2
2022/7,56.7,55.3,53.5,52.5
2022/8,56.9,56.7,55.1,55.0
2022/9,56.7,56.9,56.0,56.4
2022/10,54.4,56.7,55.5,54.5
2022/11,56.5,54.4,53.3,53.0
2022/12,49.6,56.5,55.0,53.0
2023/1,55.2,49.2,50.4,50.6
2023/2,55.1,55.2,54.5,54.6
2023/3,51.2,55.1,54.5,54.0
2022/7,56.7,55.3,53.5,52.5
2022/8,56.9,56.7,55.1,55
2022/9,56.7,56.9,56,56.4
2022/10,54.4,56.7,55.5,54.5
2022/11,56.5,54.4,53.3,53
2022/12,49.6,56.5,55,53
2023/1,55.2,49.2,50.4,50.6
2023/2,55.1,55.2,54.5,54.6
2023/3,51.2,55.1,54.5,54
