Date,Current,Previous,Consensus,TE_Forecast
2021/10,71.4,72.8,73.1,75.0
2021/11,66.8,71.7,72.4,71.0
2021/12,70.4,67.4,67.1,67.0
2022/1,68.8,70.6,70.0,70.4
2022/2,61.7,67.2,67.5,67.5
2022/3,59.7,62.8,61.4,62.0
2022/4,65.7,59.4,59.0,58.8
2022/5,59.1,65.2,64.0,63.5
2022/6,50.2,58.4,58.0,59.0
2022/7,51.1,50.0,49.9,49.3
2022/8,55.1,51.5,52.5,51.3
2022/9,59.5,58.2,60.0,58.6
2022/10,59.8,58.6,59.0,58.3
2022/11,54.7,59.9,59.5,59.3
2022/12,59.1,56.8,56.9,56.4
2023/1,64.6,59.7,60.5,59.0
2023/2,66.4,64.9,65.0,65.0
2023/3,63.4,67.0,67.0,68.0
2023/4,63.5,62.0,62.0,62.4
2023/5,57.7,63.5,63.0,64.0
2023/6,63.9,59.2,60.0,60.8
2023/7,72.6,64.4,65.5,64.5
2023/8,71.2,71.6,71.0,71.3
2023/9,67.7,69.5,69.1,70.0
2023/10,63.0,68.1,67.2,68.0
2023/11,60.4,63.8,63.7,64.2
2023/12,69.4,61.3,62.0,61.4
2024/1,78.8,69.7,70.0,69.0
2024/2,79.6,79.0,80.0,79.5
2024/3,76.5,76.9,76.9,76.9
2024/4,77.9,79.4,79.0,79.5
2022/8,55.1,51.5,52.5,51.3
2022/9,59.5,58.2,60,58.6
2022/10,59.8,58.6,59,58.3
2022/11,54.7,59.9,59.5,59.3
2022/12,59.1,56.8,56.9,56.4
2023/1,64.6,59.7,60.5,59
2023/2,66.4,64.9,65,65
2023/3,63.4,67,67,68
2023/4,63.5,62,62,62.4
2023/5,57.7,63.5,63,64
2023/6,63.9,59.2,60,60.8
2023/7,72.6,64.4,65.5,64.5
2023/8,71.2,71.6,71,71.3
2023/9,67.7,69.5,69.1,70
2023/10,63,68.1,67.2,68
2023/11,60.4,63.8,63.7,64.2
2023/12,69.4,61.3,62,61.4
2024/1,78.8,69.7,70,69
2024/2,79.6,79,80,79.5
2024/3,76.5,76.9,76.9,76.9
2024/4,77.9,79.4,79,79.5
