Date,Current,Previous,Consensus,TE_Forecast
2020/11,245K,610K,469K,500K
2020/12,-140K,336K,71K,112K
2021/1,49K,-227K,50K,45K
2021/2,379K,166K,182K,170K
2021/3,916K,468K,647K,680K
2021/4,266K,770K,978K,950K
2021/5,559K,278K,650K,610K
2021/6,850K,583K,700K,650K
2021/7,943K,938K,870K,900K
2021/8,235K,1053K,750K,750K
2021/9,194K,366K,500K,475K
2021/10,531K,312K,450K,400K
2021/11,210K,546K,550K,550K
2021/12,199K,249K,400K,425K
2022/1,467K,510K,150K,30K
2022/2,678K,481K,400K,350K
2022/3,431K,750K,490K,460K
2022/4,428K,428K,391K,415K
2022/5,390K,436K,325K,320K
2022/6,372K,384K,268K,300K
2022/7,528K,398K,250K,290K
2022/8,315K,526K,300K,310K
2022/9,263K,315K,250K,290K
2022/10,261K,315K,200K,240K
2022/11,263K,284K,200K,210K
2022/12,223K,256K,200K,220K
2023/1,517K,260K,185K,190K
2023/2,311K,504K,205K,210.0K
2023/3,236K,326K,239K,250.0K
2023/4,253K,165K,180K,190.0K
2023/5,339K,294K,190K,180.0K
2023/6,209K,306K,225K,250.0K
2023/7,187K,185K,200K,190K
2023/8,187K,157K,170K,180.0K
2023/9,336K,227K,170K,150.0K
2023/10,150K,297K,180K,190K
2023/11,199K,150K,180K,160K
2023/12,216K,173K,170K,150.0K
2024/1,353K,333K,180K,175.0K
2024/2,275K,229K,200K,195K
2024/3,303K,270K,200K,200.0K
