Date,Current,Previous,Consensus,TE_Forecast
2020/11,-1.1%,-0.6%,-0.3%,-0.4%
2020/12,0.6%,-1.3%,0.1%,0.1%
2021/1,10%,0.6%,9.5%,8.5%
2021/2,-7.1%,10.1%,-7.3%,-8%
2021/3,21.1%,-7%,20.3%,20.5%
2021/4,-13.1%,20.9%,-14.1%,-14%
2021/5,-2%,-13.1%,-2.5%,-3%
2021/6,0.1%,-2.2%,-0.3%,-0.3%
2021/7,1.1%,0.2%,0.2%,0.2%
2021/8,0.2%,1.1%,0.3%,0.2%
2021/9,-1%,0.2%,-0.2%,0.2%
2021/10,0.5%,-1%,0.2%,0.1%
2021/11,0.4%,0.5%,0.4%,0.3%
2021/12,0.3%,0.5%,0.5%,0.5%
2022/1,0%,0.4%,-0.3%,0.1%
2022/2,0.5%,0.1%,0.5%,0.6%
2022/3,0.5%,0.7%,0.4%,0.4%
2022/4,0.4%,0.5%,0.5%,0.6%
2022/5,0.5%,0.5%,0.5%,0.3%
2022/6,0.6%,0.6%,0.5%,0.5%
2022/7,0.2%,0.7%,0.6%,0.5%
2022/8,0.3%,0.3%,0.3%,0.2%
2022/9,0.4%,0.4%,0.3%,0.2%
2022/10,0.7%,0.4%,0.4%,0.3%
2022/11,0.4%,0.7%,0.3%,0.3%
2022/12,0.2%,0.3%,0.2%,0.3%
2023/1,0.6%,0.3%,1%,0.7%
2023/2,0.3%,0.6%,0.2%,0.4%
2023/3,0.3%,0.3%,0.2%,0.4%
2023/4,0.4%,0.3%,0.4%,0.3%
2023/5,0.4%,0.3%,0.3%,0.3%
2023/6,0.3%,0.5%,0.5%,0.4%
2023/7,0.2%,0.3%,0.3%,0.3%
2023/8,0.4%,0.2%,0.4%,0.3%
2023/9,0.3%,0.4%,0.4%,0.3%
2023/10,0.2%,0.4%,0.2%,0.3%
2023/11,0.4%,0.3%,0.4%,0.3%
2023/12,0.3%,0.4%,0.3%,0.3%
2024/1,1%,0.3%,0.4%,0.3%
2024/2,0.3%,1%,0.4%,0.3%
2024/3,,0.3%,0.5%,0.4%
