Open,Close,High,Low,Volume,Time,MA4,MA20,MA120,MA850
30.38,30.0,30.48,29.9,133762900,20040514,,,,
29.68,29.71,29.88,29.44,150712300,20040517,,,,
29.92,29.98,30.13,29.87,96725200,20040518,,,,
30.35,29.94,30.65,29.89,141777100,20040519,29.9075,,,
30.02,30.08,30.23,29.83,95043100,20040520,29.927500000000002,,,
30.23,30.23,30.36,29.99,111494600,20040521,30.057499999999997,,,
30.47,30.44,30.61,30.21,100159200,20040524,30.1725,,,
30.34,31.04,31.14,30.17,146471300,20040525,30.4475,,,
30.95,31.24,31.24,30.91,93005900,20040526,30.7375,,,
31.33,31.44,31.51,31.13,110234100,20040527,31.04,,,
31.4,31.55,31.55,31.26,56424400,20040528,31.317500000000003,,,
31.3,31.51,31.55,31.17,90716400,20040601,31.435000000000002,,,
31.56,31.44,31.65,31.22,103560300,20040602,31.485000000000003,,,
31.33,31.06,31.39,30.92,97727200,20040603,31.39,,,
31.38,31.24,31.61,31.22,91300800,20040604,31.3125,,,
31.46,31.98,32.03,31.37,107687700,20040607,31.43,,,
31.85,32.03,32.1,31.81,72583000,20040608,31.5775,,,
31.92,31.58,31.98,31.39,98253900,20040609,31.707499999999996,,,
31.67,31.8,31.8,31.55,57139000,20040610,31.8475,,,
31.6,31.35,31.6,31.16,85287500,20040614,31.689999999999998,30.982,,
31.56,31.76,31.93,31.56,91997600,20040615,31.6225,31.07,,
31.72,31.71,31.85,31.64,65491100,20040616,31.655,31.169999999999998,,
31.64,31.41,31.65,31.29,77862400,20040617,31.5575,31.241499999999995,,
31.33,31.46,31.8,31.3,78788400,20040618,31.585,31.317500000000003,,
31.52,31.2,31.62,31.13,65467800,20040621,31.445,31.3735,,
31.21,31.66,31.68,31.09,101642800,20040622,31.432499999999997,31.445,,
31.57,32.04,32.1,31.52,95338400,20040623,31.59,31.525,,
31.96,31.98,32.24,31.87,92391300,20040624,31.720000000000002,31.572000000000003,,
31.94,32.22,32.28,31.92,81030500,20040625,31.975,31.621000000000002,,
32.36,31.96,32.39,31.85,94245800,20040628,32.050000000000004,31.647,,
32.03,32.26,32.45,32.01,68382300,20040629,32.105000000000004,31.682500000000005,,
32.33,32.58,32.72,32.24,97906700,20040630,32.254999999999995,31.736,,
32.51,31.97,32.51,31.74,122193300,20040701,32.192499999999995,31.7625,,
31.97,31.78,32.1,31.62,74106700,20040702,32.147499999999994,31.7985,,
31.59,31.1,31.59,30.93,130400500,20040706,31.8575,31.791500000000003,,
31.04,31.16,31.33,31.01,96199500,20040707,31.5025,31.7505,,
30.91,30.82,31.19,30.69,108952500,20040708,31.215,31.690000000000005,,
30.94,30.86,31.11,30.76,86050700,20040709,30.985,31.654000000000003,,
30.7,30.73,30.81,29.96,81876100,20040712,30.892500000000002,31.6005,,
30.81,30.69,30.91,30.57,81638300,20040713,30.775,31.567500000000003,,
30.38,30.38,30.77,30.26,119881000,20040714,30.665,31.4985,,
30.49,30.27,30.64,30.26,90565000,20040715,30.517500000000002,31.426499999999997,,
30.59,29.93,30.6,29.88,120439000,20040716,30.3175,31.352500000000003,,
30.02,29.87,30.19,29.75,106437400,20040719,30.1125,31.273000000000003,,
29.99,30.58,30.72,29.96,120170200,20040720,30.162499999999998,31.241999999999997,,
30.72,29.69,30.77,29.64,136167300,20040721,30.0175,31.1435,,
29.76,30.1,30.31,29.56,132846300,20040722,30.060000000000002,31.0465,,
29.9,29.53,29.92,29.37,107147200,20040723,29.975,30.924,,
29.56,29.4,29.7,29.09,113063600,20040726,29.68,30.782999999999998,,
29.51,29.81,29.96,29.38,103537600,20040727,29.71,30.6755,,
29.7,29.68,29.89,29.19,155074200,20040728,29.604999999999997,30.5465,,
